runNumber,eventNumber,mcChannelNumber,eventWeight,MSTracklet_barrel_avg_dR_raw,MSTracklet_barrel_rms_dR_raw,MSeg_barrel_avg_dR_raw,MSeg_barrel_rms_dR_raw,MS1Vtx_barrel_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s,scoreNN1b,scoreNN2b
481865,1739297080,0,1.0,0.0,0.0,0.28284353,0.33561486,2781.0,0.9841435,0.09257548,2.3838513,2.4596918,4.0,11565.111,24903.48,8,18,17,13,21,21,10,24,19,13,21,21,1437,0.16111740752476955,0.7775038145991356
481865,1773022701,0,1.0,0.0,0.0,0.42782602,0.5067111,4026.0,1.739281,0.0,0.0,-1.0,3.0,35400.66,39022.477,15,20,18,19,21,24,16,20,19,20,21,24,2316,0.6282285713715403,0.3959670911607953
480657,716450648,0,1.0,0.0,0.0,0.21401232,0.2989429,2453.0,0.7866354,4.1168585,7.3925962,17.672155,4.0,28264.164,27388.926,17,25,19,13,13,14,21,29,22,14,13,14,1146,0.1215707005672908,0.576946727255718
475369,2933757073,0,1.0,0.0,0.0,0.13696817,0.18376291,1822.0,1.1906748,0.0,0.0,-1.0,3.0,29744.582,26552.295,10,25,19,7,7,9,17,27,22,9,10,11,1093,0.4888227809402145,0.27085382374983735
475369,2323144747,0,1.0,0.0,0.0,0.1848017,0.24168871,2219.0,0.025144994,0.0,0.0,-1.0,4.0,29775.188,46222.97,4,27,18,6,9,9,4,28,19,7,10,10,1286,0.580145648787392,0.6775612928585127
474533,1386952387,0,1.0,0.0,0.0,0.2052402,0.2398387,1578.0,2.4410794,-2.8285744,5.4897666,1.4984399,3.0,22633.002,45769.438,6,11,17,14,11,15,6,12,18,15,12,15,1009,0.3205376968329974,0.0845821924286031
474533,1355640082,0,1.0,0.0,0.0,0.1834255,0.23953903,1928.0,1.0811751,0.0,0.0,-1.0,3.0,20953.738,21004.846,11,16,29,22,22,18,13,16,32,23,23,20,1247,0.5695724474661403,0.334497828439562
481042,1057433341,0,1.0,0.0,0.0,0.26492968,0.3523875,2569.0,0.20997012,0.0,0.0,-1.0,3.0,15724.15,35660.38,8,4,22,12,25,19,8,4,22,17,27,22,1643,0.0245174553669546,0.6502405215754508
481042,1426222927,0,1.0,0.0,0.0,0.17413281,0.23955548,2117.0,0.26020837,2.0176191,2.755664,5.199848,3.0,35394.723,69958.195,16,10,28,5,8,12,17,11,28,8,8,13,1130,0.003022845922719619,0.27690972883647635
481603,1258941380,0,1.0,0.0,0.0,0.22148566,0.2988637,2320.0,1.702659,0.0,0.0,-1.0,3.0,25792.578,37139.26,21,18,19,9,12,12,28,19,23,11,12,13,1159,0.5980505169515565,0.40508481297859944
481603,264123749,0,1.0,0.0,0.0,0.21578315,0.26145348,2173.0,0.34499514,1.7213306,2.2915168,3.576087,3.0,35699.742,47521.02,7,7,25,9,14,18,7,8,26,12,14,18,1393,0.012731421107375795,0.33702923194741874
479720,2199712750,0,1.0,0.0,0.0,0.21314053,0.28142843,2409.0,0.1797168,1.7687703,6.7816834,10.411248,3.0,29581.877,46138.17,13,23,19,6,5,12,16,23,22,6,5,12,1168,0.0060513887295204905,0.33662254825152826
476218,937374573,0,1.0,0.0,0.0,0.20338722,0.3406607,1910.0,0.4446795,1.0663397,2.3583276,5.661742,3.0,25354.982,30111.455,7,16,28,15,14,17,7,20,31,15,14,17,1115,0.004267764268200747,0.21160678893048535
476218,283626640,0,1.0,0.0,0.0,0.19820714,0.25632665,1854.0,0.05440259,0.04005401,8.214082,7.81223,3.0,30108.555,38994.38,3,24,18,9,10,17,3,24,18,11,11,18,1139,0.3244036147179522,0.15929320113712386
